"","Habitat","Year","Replicate","Brown.algae","Green.algae","Red.algae","Nerita","Cellana","Austrocochlea","Bembicium","Morula","Patiriella","Pyura","Actinia","Barnacles"
"370","Rockpool",2020,33,70,0,0,1,5,2,0,0,0,0,0,0
"371","Rockpool",2020,34,5,2,40,0,4,1,0,0,0,0,0,0
"372","Rockpool",2020,35,60,0,0,0,2,1,0,0,0,0,1,0
"373","Rockpool",2020,36,98,0,0,0,0,2,0,0,0,0,0,0
"374","Rockpool",2020,37,50,0,0,0,0,2,0,0,0,0,0,0
"375","Rockpool",2020,38,60,0,0,0,1,3,0,0,0,0,0,0
"376","Rockpool",2020,39,30,5,25,3,3,1,0,0,0,0,0,0
"377","Rockpool",2020,40,95,0,0,7,0,5,0,1,0,0,0,0
"378","Rockpool",2020,41,60,0,0,10,0,7,0,0,0,0,1,0
"379","Rockpool",2020,42,75,0,0,11,0,9,0,0,0,0,0,0
"380","Rockpool",2020,43,95,0,0,6,0,2,0,0,0,0,0,0
"381","Rockpool",2020,44,20,0,0,0,4,0,0,0,2,0,0,0
"382","Rockpool",2020,45,40,0,0,4,5,10,0,0,0,0,0,0
"383","Rockpool",2020,46,20,15,10,9,6,0,0,0,1,0,0,0
"384","Rockpool",2020,47,20,0,10,1,4,1,2,0,1,0,0,0
"385","Rockpool",2020,48,5,5,15,0,3,0,1,0,0,0,0,0
"386","Rockpool",2020,49,0,30,5,8,0,0,0,0,0,0,0,0
"387","Rockpool",2020,50,60,0,0,2,0,8,0,0,0,0,0,0
"388","Rockpool",2020,51,98,0,0,0,0,5,0,1,0,0,0,0
"389","Rockpool",2020,52,44,44,0,0,1,1,0,0,0,0,0,0
"390","Rockpool",2020,53,31,0,75,4,0,7,0,0,0,0,0,0
"391","Rockpool",2020,54,0,44,0,10,0,8,0,0,0,0,0,0
"392","Rockpool",2020,55,0,0,75,5,9,0,0,0,0,0,0,0
"393","Rockpool",2020,56,13,0,95,2,1,0,0,0,0,0,0,0
"394","Rockpool",2020,57,0,0,62,5,6,7,0,0,0,0,0,0
"395","Rockpool",2020,58,10,10,80,0,1,4,2,1,4,0,1,0
"396","Rockpool",2020,59,45,5,50,1,0,4,0,0,3,0,1,0
"397","Rockpool",2020,60,75,5,20,0,7,0,0,1,0,3,0,0
"398","Rockpool",2020,61,50,0,50,4,4,10,0,4,6,0,0,1
"399","Rockpool",2020,62,20,10,50,0,0,12,0,1,0,0,0,1
"400","Rockpool",2020,63,10,0,90,0,0,9,0,1,1,0,0,0
"401","Rockpool",2020,64,10,20,20,2,12,3,0,0,0,0,0,1
"402","Rockpool",2020,65,20,0,60,3,13,4,0,0,0,0,0,0
"403","Rockpool",2020,66,90,0,5,10,5,3,0,0,1,0,0,0
"404","Rockpool",2020,67,25,0,0,1,3,2,4,1,0,0,0,1
"405","Rockpool",2020,68,50,0,0,0,1,2,0,0,1,0,0,0
"406","Rockpool",2020,69,90,2,0,1,0,1,0,4,2,0,0,0
"407","Rockpool",2020,70,20,0,0,6,3,4,3,0,0,0,0,0
"408","Rockpool",2020,71,75,0,0,5,0,2,4,0,0,0,0,0
"409","Rockpool",2020,72,2,0,15,8,0,0,1,0,0,0,0,0
"410","Rockpool",2020,73,0,0,20,3,1,0,0,0,0,0,0,0
"411","Rockpool",2020,74,10,0,0,16,3,6,1,1,0,0,0,1
"412","Rockpool",2020,75,90,0,0,3,0,5,1,0,0,0,0,0
"413","Rockpool",2020,76,70,10,5,5,7,0,1,3,1,0,0,0
"414","Rockpool",2020,77,45,0,0,1,1,3,0,0,0,0,0,0
"415","Rockpool",2020,78,0,55,20,0,0,0,0,0,0,0,0,0
"416","Rockpool",2020,79,0,0,0,1,1,5,0,2,0,0,0,0
